episode,steps,return,length,success,crash,wall_time
264,19697,78.892,250,0,0,127.5
265,19733,-112.454,36,0,1,128.0
266,19743,-115.951,10,0,1,128.1
267,19748,-108.434,5,0,1,128.1
268,19757,-106.846,9,0,1,128.2
269,19763,-109.277,6,0,1,128.3
270,19769,-112.702,6,0,1,128.4
271,19778,-112.288,9,0,1,128.5
272,19785,-110.194,7,0,1,128.5
273,19801,-112.551,16,0,1,128.7
274,19806,-109.627,5,0,1,128.8
275,19812,-107.375,6,0,1,128.8
276,19818,-109.762,6,0,1,128.9
277,19826,-106.074,8,0,1,129.0
278,19833,-113.354,7,0,1,129.0
279,20083,74.092,250,0,0,131.7
280,20333,84.577,250,0,0,134.4
281,20583,79.911,250,0,0,137.3
282,20833,89.475,250,0,0,140.3
283,21083,79.715,250,0,0,143.3
284,21333,86.54,250,0,0,146.4
285,21343,-96.366,10,0,1,146.5
286,21593,71.577,250,0,0,149.3
287,21644,-15.84,51,0,1,149.9
288,21691,-48.081,47,0,1,150.4
289,21941,59.703,250,0,0,153.0
290,22074,-50.745,133,0,1,154.4
291,22324,56.473,250,0,0,157.0
292,22359,-58.593,35,0,1,157.3
293,22389,-43.996,30,0,1,157.6
294,22639,78.689,250,0,0,160.6
295,22889,69.714,250,0,0,163.5
296,23139,79.267,250,0,0,166.7
297,23273,191.218,134,1,0,169.3
298,23523,78.313,250,0,0,172.1
299,23542,-95.26,19,0,1,172.3
300,23792,71.58,250,0,0,175.3
301,24042,79.117,250,0,0,177.9
302,24060,-78.62,18,0,1,178.1
303,24081,-85.805,21,0,1,178.3
304,24331,78.049,250,0,0,181.3
305,24581,75.751,250,0,0,184.6
306,24591,-90.909,10,0,1,184.7
307,24629,-85.105,38,0,1,185.1
308,24879,84.198,250,0,0,188.1
309,25129,77.383,250,0,0,191.1
310,25379,68.287,250,0,0,194.1
311,25506,-18.771,127,0,1,195.5
312,25756,71.937,250,0,0,198.6
313,25850,-62.641,94,0,1,199.6
314,26100,68.818,250,0,0,203.0
315,26179,-32.588,79,0,1,204.1
316,26238,-18.286,59,0,1,204.8
317,26488,76.811,250,0,0,207.4
318,26604,-52.294,116,0,1,208.7
319,26854,76.524,250,0,0,211.3
320,27027,-39.627,173,0,1,213.1
321,27277,5.751,250,0,0,215.6
322,27527,79.868,250,0,0,218.2
323,27540,-85.442,13,0,1,218.3
324,27569,-40.972,29,0,1,218.6
325,27819,77.585,250,0,0,221.2
