episode,steps,return,length,success,crash,wall_time
221,20137,-34.032,118,0,1,46.7
222,20147,-83.582,10,0,1,46.7
223,20166,-107.124,19,0,1,46.8
224,20342,-36.793,176,0,1,47.1
225,20592,59.962,250,0,0,48.7
226,20731,-30.614,139,0,1,48.9
227,20785,-78.356,54,0,1,49.0
228,20847,-52.887,62,0,1,49.1
229,20874,-78.58,27,0,1,49.2
230,21124,52.766,250,0,0,49.6
231,21210,-76.15,86,0,1,49.8
232,21441,-49.548,231,0,1,50.2
233,21560,-19.094,119,0,1,50.4
234,21787,-40.2,227,0,1,50.8
235,21797,-96.123,10,0,1,50.8
236,21827,-94.51,30,0,1,50.8
237,21947,-18.264,120,0,1,51.0
238,22182,-11.466,235,0,1,51.4
239,22432,10.471,250,0,0,51.9
240,22582,-16.756,150,0,1,53.3
241,22832,71.521,250,0,0,53.7
242,22882,-88.585,50,0,1,53.8
243,23132,75.821,250,0,0,54.2
244,23382,60.06,250,0,0,54.7
245,23632,14.86,250,0,0,55.1
246,23746,-23.084,114,0,1,55.3
247,23949,185.275,203,1,0,55.6
248,24041,-41.451,92,0,1,55.8
249,24291,73.048,250,0,0,56.2
250,24465,-12.231,174,0,1,56.5
251,24658,-21.165,193,0,1,57.9
252,24908,86.814,250,0,0,58.3
253,25083,-44.697,175,0,1,58.6
254,25293,-6.52,210,0,1,59.0
255,25501,184.66,208,1,0,59.4
256,25651,-3.888,150,0,1,59.7
257,25789,-40.385,138,0,1,59.9
258,25979,-58.474,190,0,1,60.2
259,26156,181.82,177,1,0,60.5
260,26324,-44.959,168,0,1,60.8
261,26444,-29.959,120,0,1,61.0
262,26669,-35.041,225,0,1,62.3
263,26919,88.056,250,0,0,62.7
264,26948,-71.719,29,0,1,62.7
265,27001,-103.826,53,0,1,62.8
266,27145,-42.21,144,0,1,63.0
267,27395,85.625,250,0,0,63.5
268,27399,-98.321,4,0,1,63.5
269,27649,82.261,250,0,0,63.9
270,27671,-113.678,22,0,1,63.9
271,27808,183.072,137,1,0,64.1
272,27989,-59.509,181,0,1,64.5
273,28239,75.599,250,0,0,64.9
274,28349,-86.341,110,0,1,65.1
275,28420,-45.81,71,0,1,65.2
276,28438,-86.924,18,0,1,65.2
277,28574,-25.017,136,0,1,65.4
278,28824,65.595,250,0,0,66.6
279,29074,76.803,250,0,0,67.0
280,29117,-60.902,43,0,1,67.0
281,29162,-79.928,45,0,1,67.1
282,29333,200.088,171,1,0,67.3
283,29562,189.129,229,1,0,67.6
284,29634,-41.997,72,0,1,67.7
285,29704,-49.424,70,0,1,67.8
286,29954,64.336,250,0,0,68.1
287,30025,-36.377,71,0,1,68.2
288,30051,-91.778,26,0,1,68.2
289,30251,-30.459,200,0,1,68.5
290,30501,50.082,250,0,0,68.9
291,30751,54.67,250,0,0,70.0
292,30863,-19.461,112,0,1,70.1
293,30993,-53.958,130,0,1,70.3
294,31056,-49.102,63,0,1,70.3
295,31306,67.781,250,0,0,70.6
296,31364,-53.674,58,0,1,70.7
297,31614,73.458,250,0,0,71.0
298,31616,-97.293,2,0,1,71.0
299,31668,-77.526,52,0,1,71.1
300,31793,200.792,125,1,0,71.2
301,31944,-19.509,151,0,1,71.4
302,32032,-37.238,88,0,1,71.5
303,32282,66.929,250,0,0,71.8
304,32532,76.037,250,0,0,72.1
305,32754,190.927,222,1,0,72.5
306,33004,61.919,250,0,0,73.8
307,33234,-43.319,230,0,1,74.2
308,33404,-17.961,170,0,1,74.6
309,33654,48.235,250,0,0,75.1
310,33904,77.478,250,0,0,75.5
311,33912,-93.187,8,0,1,75.5
312,34025,186.666,113,1,0,75.7
313,34190,-51.326,165,0,1,76.0
314,34387,-22.107,197,0,1,76.3
315,34425,-60.483,38,0,1,76.3
316,34675,66.785,250,0,0,76.7
317,34861,186.029,186,1,0,78.0
318,35085,-24.639,224,0,1,78.3
319,35226,-7.925,141,0,1,78.6
320,35394,-23.599,168,0,1,78.8
321,35644,59.122,250,0,0,79.2
322,35837,-41.326,193,0,1,79.5
323,35876,-92.789,39,0,1,79.6
324,36126,78.147,250,0,0,80.0
325,36292,194.187,166,1,0,80.3
326,36420,-54.299,128,0,1,80.5
327,36551,-37.934,131,0,1,80.7
328,36568,-102.07,17,0,1,80.7
329,36615,-63.935,47,0,1,80.8
330,36865,77.571,250,0,0,82.1
331,37115,73.97,250,0,0,82.5
332,37233,201.032,118,1,0,82.7
333,37283,-48.157,50,0,1,82.8
334,37533,78.317,250,0,0,83.2
335,37622,-52.903,89,0,1,83.3
336,37872,75.839,250,0,0,83.7
337,37931,-18.054,59,0,1,83.8
338,38181,71.586,250,0,0,84.2
339,38296,192.421,115,1,0,84.4
340,38546,77.864,250,0,0,84.8
341,38606,-48.211,60,0,1,84.9
342,38625,-77.189,19,0,1,84.9
343,38875,79.627,250,0,0,85.3
344,38884,-97.556,9,0,1,85.3
345,39006,185.797,122,1,0,86.5
346,39095,-39.51,89,0,1,86.7
347,39251,-29.861,156,0,1,86.9
348,39296,-42.854,45,0,1,87.0
349,39546,91.603,250,0,0,87.4
350,39796,72.498,250,0,0,87.8
351,40046,88.717,250,0,0,88.2
352,40296,69.5,250,0,0,88.6
353,40519,-28.058,223,0,1,88.9
354,40660,185.826,141,1,0,89.2
355,40776,182.72,116,1,0,89.4
356,40888,198.907,112,1,0,89.5
357,41138,74.255,250,0,0,90.9
358,41241,-18.376,103,0,1,91.1
359,41262,-77.869,21,0,1,91.1
360,41309,-54.665,47,0,1,91.2
361,41424,191.459,115,1,0,91.4
362,41674,88.251,250,0,0,91.8
363,41742,-28.541,68,0,1,91.9
364,41870,191.107,128,1,0,92.1
365,42120,66.832,250,0,0,92.5
366,42315,-55.915,195,0,1,92.8
367,42498,-40.228,183,0,1,93.2
